,dataset_size,model_loss,accuracy
0,4.0,0.22040490384821648,0.75976
1,2.0,0.22421274661141272,0.7596
2,1.0,0.31028019611539376,0.6826399999999999
3,0.5,0.29974228580283235,0.69712
4,0.25,0.3749015590895852,0.61968
5,0.125,0.39979313441818115,0.60656
6,0.0625,0.5903405718389154,0.45215999999999995
